article_id,newspaper,title,author,url,date,city_writing_origin,countries_mentioned,politicians_mentioned,n_comments
159,lavanguardia.com,Dos detenidos por su lealtad al Estado Islámico tras tratar de lanzar bombas contra una protesta de ultras,Francesc Peirón,https://www.lavanguardia.com/internacional/20260309/11485570/dos-detenidos-lealtad-islamico-tratar-lanzar-bombas-protesta-ultras.html,09/03/2026,Nueva York,"Irán, Estados Unidos",Donald Trump,6
160,lavanguardia.com,Turquía intercepta un segundo misil balístico iraní y despliega seis cazas en el norte de Chipre,Helena Pelicano,https://www.lavanguardia.com/internacional/20260309/11485576/turquia-intercepta-segundo-misil-balistico-irani-despliega-seis-cazas-norte-chipre.html,09/03/2026,Jerusalén,"Chipre, Irán, Israel, Kuwait, Líbano, Reunión, Arabia Saudí, Turquía, Emiratos Árabes Unidos, Estados Unidos",NA,29
161,lavanguardia.com,Una broma que acaba con la muerte de un “querido” profesor de matemáticas y un estudiante acusado de homicidio,Agencias,https://www.lavanguardia.com/internacional/20260309/11485537/broma-acaba-tragedia-estudiante-acusado-muerte-querido-profesor.html,09/03/2026,Gainesville,Georgia,NA,NA
162,lavanguardia.com,Putin ofrece enviar petróleo y gas a Europa si así lo pide y sin condiciones políticas,Gonzalo Aragonés,https://www.lavanguardia.com/internacional/20260309/11485516/putin-ofrece-enviar-petroleo-y-gas-a-europa-si-asi-lo-pide-y-sin-condiciones-politicas.html,09/03/2026,Moscú,"Afganistán, China, Alemania, Hungría, India, Irán, Israel, Rusia, Reunión, Eslovaquia, Turquía, Ucrania, Estados Unidos","Putin, von der Leyen, Zelenski",4
163,lavanguardia.com,El iberista Seguro promete hacer frente al “frenesí electoral” en el Portugal que ya preside,Anxo Lugilde,https://www.lavanguardia.com/internacional/20260309/11485335/iberista-seguro-promete-frente-frenesi-electoral-portugal-preside.html,09/03/2026,NA,"Irán, Montenegro, Portugal, España",Donald Trump,2
164,lavanguardia.com,"Espías, gas y fragatas en el tablero de Chipre",Francesco Olivo,https://www.lavanguardia.com/internacional/20260309/11485501/espias-gas-fragatas-tablero-chipre.html,09/03/2026,Roma,"Chipre, Egipto, Estonia, Grecia, Irán, Irak, Israel, Italia, Libia, Países Bajos, Rusia, España, Siria, Turquía, Estados Unidos",NA,10
165,lavanguardia.com,Guerra de Irán y los ataques de Israel y EE.UU.: Trump y Putin mantienen una conversación por primera vez este año,Casandra Maggio,https://www.lavanguardia.com/internacional/20260309/11485371/guerra-iran-ataques-eeuu-iran-teheran-misiles-turquia-ultima-hora-en-directo.html,09/03/2026,NA,NA,NA,NA
166,lavanguardia.com,Trump pide a Australia que conceda asilo a futbolistas iraníes y ofrece refugio en EE.UU.,Agencias,https://www.lavanguardia.com/internacional/20260309/11485409/trump-pide-australia-conceda-asilo-futbolistas-iranies-ofrece-refugio-ee-uu.html,09/03/2026,Washington,"Australia, Irán, Israel, Corea del Sur, Estados Unidos",Donald Trump,NA
167,lavanguardia.com,"Guerra de Irán y la última hora de los ataques de EE.UU e Israel, en directo: Francia planea escoltar petroleros en el estrecho de Ormuz",Arnau Ruiz,https://www.lavanguardia.com/internacional/20260309/11484767/guerra-iran-ataques-eeuu-israel-mojtaba-jamenei-misiles-trump-en-directo.html,09/03/2026,NA,NA,NA,NA
168,lavanguardia.com,Von der Leyen endurece la política exterior de la UE: “No se debe llorar por el régimen iraní”,Anna Buj,https://www.lavanguardia.com/internacional/20260309/11485243/von-der-leyen-endurece-politica-exterior-ue-debe-llorar-regimen-irani.html,09/03/2026,Bruselas,"Baréin, Egipto, Irán, Irak, Israel, Italia, Líbano, Reunión, Arabia Saudí, Siria, Turquía, Estados Unidos","von der Leyen, Von der Leyen, Donald Trump, Putin, putin",442
169,lavanguardia.com,Macron anuncia que Europa enviará una flota a Ormuz “en cuanto sea posible”,Eusebio Val,https://www.lavanguardia.com/internacional/20260309/11485296/macron-anuncia-europa-enviara-flota-ormuz-cuanto-sea-posible.html,09/03/2026,París,"Chipre, Francia, Alemania, Irán, Italia, Turquía, Estados Unidos",Pedro Sánchez,9
170,lavanguardia.com,El rearme global alcanza niveles récord,Josep M. Bermejo Manchó,https://www.lavanguardia.com/internacional/20260309/11485230/rearme-global-alcanza-niveles-record.html,09/03/2026,NA,"Argelia, Brasil, China, Francia, Alemania, India, Israel, Italia, Kuwait, Marruecos, Pakistán, Polonia, Rusia, Arabia Saudí, Ucrania, Reino Unido, Estados Unidos",Donald Trump,1
